Course Code;Course Name;Credits
EEE 412;Microwave Electronics;4
EEE 414;Introduction to CMOS VLSI Design;3
EEE 415;Analog CMOS Integrated Circuits;3
EEE 418;Principles of Electronic Devices;4
EEE 419;Power Electronics;3
EEE 424;Digital Signal Processing;4
EEE 428;Optics;4
EEE 429;Photonics;3
EEE 431;Telecommunications I;3
EEE 432;Telecommunications II;3
EEE 436;Wireless Networking Technologies and Applications;3
EEE 440;Advanced Mathematics for Signals, Systems, Control and Communications;3
EEE 442;Nonlinear Systems;3
EEE 443;Neural Networks;3
EEE 444;Robust Feedback Theory;3
EEE 446;Control and Optimization of Stochastic Systems;3
EEE 447;Introduction to Robotics;3
EEE 451;Microwave Engineering;4
EEE 452;Antenna Engineering;4
EEE 455;Power System Analysis and Design;3
EEE 473;Medical Imaging;3
EEE 474;Foundations of Magnetic Resonance Imaging;3
EEE 475;Medical Image Reconstruction and Processing;3
EEE 480;Advanced Optoelectronics: Innovative Design;3
EEE 481;Biomedical Signals and Instrumentation;3
EEE 482;Computational Neuroscience;3
EEE 485;Statistical Learning and Data Analytics;3
EEE 491;Electrical and Electronics Engineering Design I;3
EEE 492;Senior Project;3
EEE 493;Industrial Design Project I;3
EEE 494;Industrial Design Project II;3
EEE 495;Electrical and Electronics Engineering Design II;3
EEE 497;Digital Signal Processing Laboratory;3
EEE 501;Linear System Theory;3
EEE 511;Telecommunication Electronics;3
EEE 512;Microwave Electronics;3
EEE 514;Introduction to CMOS VLSI Design;3
EEE 515;Analog CMOS Integrated Circuits;3
EEE 518;Principles of Electronic Devices;3
EEE 519;Power Electronics;3
EEE 520;Multirate Signal Processing and Wavelet Theory;3
EEE 521;Introduction to Radar Signal Processing;3
EEE 522;Optical Information Processing;3
EEE 523;Speech Processing;3
EEE 525;Advanced Signal Processing;3
EEE 526;Digital Image Processing;3
EEE 527;Digital Coding of Waveforms;3
EEE 528;Optics;3
EEE 529;Photonics;3
EEE 530;Digital Communications Theory;3
EEE 533;Random Processes;3
EEE 534;Wireless Communications;3
EEE 536;Advanced Computer Networks;3
EEE 538;Communication Network Analysis;3
EEE 539;Detection and Estimation Theory;3
EEE 540;Advanced Mathematics for Signals, Systems, Control and Communications;3
EEE 542;Nonlinear Systems;3
EEE 543;Neural Networks;3
EEE 544;Robust Feedback Theory;3
EEE 546;Control and Optimization of Stochastic Systems;3
EEE 547;Introduction to Robotics;3
EEE 549;Nanoscale Fabrication Technologies for Semiconductors;3
EEE 550;Nanoelectronic Devices: Physics and Technology;3
EEE 551;Microwave Engineering;3
EEE 552;Antenna Engineering;3
EEE 554;High Frequency Techniques in Electromagnetics;3
EEE 556;Computational Methods in Electromagnetics;3
EEE 557;Acoustic Waves and Devices;3
EEE 558;Electroacoustic Transduction;3
EEE 560;Nanoengineering and Nanodevices;3
EEE 573;Medical Imaging;3
EEE 574;Foundations of Magnetic Resonance Imaging;3
EEE 575;Medical Image Reconstruction and Processing;3
EEE 580;Advanced Optoelectronics: Innovative Design;3
EEE 581;Biomedical Signals and Instrumentation;3
EEE 582;Computational Neuroscience;3
EEE 585;Statistical Learning and Data Analytics;3
EEE 591;Graduate Seminar I;0
EEE 592;Graduate Seminar II;0
EEE 596;Graduate Research Project in Telecommunications and Networking;0
EEE 599;Master's Thesis;0
EEE 603;Advanced Electromagnetic Theory I;3
EEE 604;Advanced Electromagnetic Theory II;3
EEE 633;Coding Theory;3
EEE 634;Information Theory;3
EEE 644;Advanced Robust Control Theory;3
EEE 699;Ph.D. Dissertation;0
IE 102;A Process Outlook for Industrial Engineering;3
IE 202;Introduction to Modeling and Optimization;3
IE 262;Manufacturing Processes;4
IE 271;Operations Analysis and Design;3
IE 272;Manufacturing Processes and Operations Analysis;4
IE 299;Summer Training I;0
IE 303;Modeling and Methods in Optimization;3
IE 324;Simulation;4
IE 325;Stochastic Models;3
IE 342;Engineering Economic Analysis;3
IE 375;Production Planning;3
IE 376;Production Information Systems;3
IE 380;Quality Assurance and Reliability;3
IE 399;Summer Training II;0
IE 400;Principles of Engineering Management;3
IE 421;Introduction to Stochastic Processes;3
IE 423;Forecasting Methods and Applications;3
IE 428;Project Scheduling;3
IE 432;Quantitative Risk Management;3
IE 440;Introduction to Financial Engineering;3
IE 443;Multi-Objective Decision Analysis;3
IE 444;Operations Research in Finance;3
IE 448;Financial Issues in Engineering Projects;3
IE 451;Applied Data Analysis;3
IE 453;Energy Systems Planning;3
IE 455;Service Systems;3
IE 457;Sustainable Operations;3
IE 460;Quantitative Models in Supply Chain Management;3
IE 462;Introduction to Advanced Manufacturing Technologies;3
IE 463;Operations Scheduling;3
IE 464;Inventory Planning Models;3
IE 467;Emerging Trends in Manufacturing;3
IE 468;Pricing and Revenue Optimization;3
IE 469;Industrial Applications of Operations Research;3
IE 477;Production Systems Design-Synthesis;3
IE 478;Production Systems Design-Practice;3
IE 479;Distribution Logistics;3
IE 482;Humanitarian Logistics;3
IE 485;Decision Making in Health Care;3
IE 490;Introduction to Research in IE and OR;3
IE 491;Introduction to Research in IE and OR II;3
IE 496;Seminar in Production Systems;0
IE 497;Individual Study;4
IE 499;Individual Study;3
IE 500;Mathematics of Operations Research;3
IE 505;Mathematical Programming;3
IE 513;Linear Programming;3
IE 514;Network Flows;3
IE 515;Convex Analysis;3
IE 518;Discrete Optimization;3
IE 521;Stochastic Processes;3
IE 522;Queuing Systems;3
IE 523;Probabilistic Analysis;3
IE 528;Dynamic Programming;3
IE 530;Advanced Logistics Modeling and Optimization;3
IE 535;Stochastic and Risk-Sensitive Optimization;3
IE 536;Modeling and Optimization of Energy Systems;3
IE 540;Introduction to Financial Engineering;3
IE 543;Multiple Criteria Decision Making;3
IE 546;Introduction to Continuous time Finance;3
IE 551;Applied Statistics;3
IE 553;Applied Statistical Modeling and Data Analysis;3
IE 561;Manufacturing Systems;3
IE 568;Theory of Pricing and Revenue Management;3
IE 571;Analytical Models for Supply Chain Management;3
IE 573;Theory of Machine Scheduling;3
IE 586;Computational Optimization;3
IE 590;Research Topics in IE and OR;0
IE 599;Master's Thesis;0
IE 614;Nonlinear Programming;3
IE 690;Advanced Research Topics in IE&OR;0
IE 691;Research Practice;0
IE 699;Ph.D. Dissertation;0
ME 101;Fundamentals of Mechanical Engineering;2
ME 102;Introduction to Systems Engineering;3
ME 211;Thermo-Fluids Engineering I;4
ME 212;Thermo-Fluids Engineering II;4
ME 231;Mechanics and Materials I;4
ME 232;Mechanics and Materials II;4
ME 299;Summer Practice I;0
ME 341;Dynamics and Control I;4
ME 342;Dynamics and Control II;4
ME 343;Mechanical Vibrations;3
ME 361;Numerical Methods for Engineers;3
ME 362;Finite Elements;3
ME 371;Measurement and Instrumentation;3
ME 381;Design and Manufacturing;3
ME 384;Mechatronic Systems;3
ME 399;Summer Practice II;0
ME 401;Acoustics and Noise Control;3
ME 412;Introduction to Computational Fluid Dynamics;3
ME 430;Heat Exchanger Design;3
ME 431;Industrial Fluid Power;3
ME 432;Applied Thermodynamics;3
ME 436;Energy Conversion Systems;3
ME 440;Automotive Engineering;3
ME 442;Machinery Dynamics;3
ME 443;Machine Elements;3
ME 446;Applications of Solid Mechanics;3
ME 453;Principles of Turbomachinery;3
ME 481;Mechanical Engineering Design I;3
ME 482;Mechanical Engineering Design II;3
ME 490;Undergraduate Research in ME;3
ME 499;Individual Study;3
ME 500;Integrated Product Development;3
ME 501;Mathematical Techniques in Mechanical Engineering;3
ME 503;Numerical Methods in Mechanical Engineering;3
ME 511;Fluid Mechanics;3
ME 516;Tribology : Friction, Lubrication and Wear;3
ME 523;Molecular Simulation of Materials;3
ME 525;Introduction to Nanomechanics;3
ME 543;Sound and Vibration;3
ME 550;Continuum Mechanics;3
ME 552;The Finite Element Method;3
ME 554;Mechanics of Composite Materials;3
ME 555;Cellular Biomechanics;3
ME 557;Metal Cutting Principles;3
ME 558;Impact Mechanics;3
ME 565;Dynamics;3
ME 570;Dynamics of Aerospace Vehicles;3
ME 571;Advanced System Modeling;3
ME 575;Micro/Nano Robotics;3
ME 576;Linear Control System Design;3
ME 578;Vehicle Control Systems;3
ME 579;Adaptive Control Systems;3
ME 580;Introduction to MEMS and Micro Systems;3
ME 582;Fundamentals of Design for Reliability;3
ME 590;Mechanical Engineering Seminar;0
ME 599;Master's Thesis;0
ME 615;Microfluidics;3
ME 631;Conductive Heat Transfer;3
ME 657;Nano/Micro Manufacturing;3
ME 690;Mechanical Engineering Seminar;0
ME 699;Ph.D. Dissertation;0
ARCH 201;Architectural Design Studio I;6
ARCH 202;Architectural Design Studio II;6
ARCH 231;Statics and Strength of Materials;3
ARCH 251;Architectural Building Systems;3
ARCH 252;Construction and Materials;4
ARCH 290;Summer Practice I;0
ARCH 301;Architectural Design Studio III;6
ARCH 302;Architectural Design Studio IV;6
ARCH 315;Computerized Presentation Techniques;3
ARCH 317;Parametric Design Studio;3
ARCH 321;Architecture and Society;3
ARCH 331;Structural Design I;3
ARCH 332;Structural Design II;3
ARCH 333;Form and Structure;3
ARCH 341;Architectural Lighting and Acoustics;3
ARCH 342;Environmental Technology;3
ARCH 351;Urban Metabolism: tools from the social sciences for architects and designers;3
ARCH 390;Summer Practice II;0
ARCH 401;Architectural Design Studio V;6
ARCH 402;Architectural Design Studio VI;6
ARCH 411;Conservation of Historical Environments;3
ARCH 417;Advanced Visualization Studio;3
ARCH 418;Professional Practice;3
ARCH 440;Special Topics in Architectural Design;3
ARCH 462;Medieval Architecture in the Eastern Mediterranean;3
ARCH 463;Modern Turkish Architecture;3
ARCH 465;Contemporary Architecture and Theory;3
ARCH 466;Architectural Theory and Criticism;3
ARCH 496;Individual Study;6
ARCH 497;Individual Study;2
ARCH 498;Individual Study;4
ARCH 499;Individual Study;3
ARCH 513;Theory and Methodology;3
ARCH 514;Architectural Readings;3
ARCH 515;Topics in Architectural Technology;3
ARCH 516;Computational Design Technologies;3
ARCH 517;Advanced Visualization Studio;3
ARCH 550;Current Issues in Architectural Design;3
ARCH 563;Modern Turkish Architecture;3
ARCH 564;Space and Culture;3
ARCH 565;Contemporary Architecture and Theory;3
ARCH 566;Architectural Theory and Criticism;3
ARCH 590;Graduate Seminar;0
ARCH 599;Master's Thesis;0
COMD 101;Visual Communication Design I;6
COMD 102;Visual Communication Design II;6
COMD 203;Media Studies I;3
COMD 204;Media Studies II;3
COMD 207;History of Film and Media;3
COMD 210;Introduction to Screenwriting;3
COMD 212;Principles of Visual Communication Design;3
COMD 281;Media and Design Studio I;4
COMD 282;Media and Design Studio II;4
COMD 290;Summer Practice I;0
COMD 305;Digital Video Production I;3
COMD 306;Digital Video Production II;3
COMD 308;Multi-Camera Production and Live-Recording;4
COMD 310;Advanced Screenwriting;3
COMD 321;Analysis of Moving Image;3
COMD 322;Film Theory and Criticism;3
COMD 331;News Reporting and Writing;3
COMD 333;News and Society;3
COMD 335;Science Writing and Journalism;3
COMD 341;Media and Society;3
COMD 342;Popular Culture;3
COMD 346;Introduction to Advertising;3
COMD 350;Radio Programming and Production;3
COMD 354;Game Design and Research;3
COMD 355;Social Media Marketing;3
COMD 356;Digital Culture;3
COMD 357;Multimedia Journalism;3
COMD 361;Sound Design I;3
COMD 362;Sound Design II;3
COMD 363;Music and Media;3
COMD 364;Video Production for Non-majors;3
COMD 365;Character Animation and Sequential Storytelling;3
COMD 381;Media and Design Studio III;4
COMD 382;Media and Design Studio IV;4
COMD 390;Summer Practice II;0
COMD 409;Advanced Broadcast Studio;3
COMD 422;Advanced Issues in Communication Studies;3
COMD 424;Media Theory and Methods;3
COMD 433;Gender and Media;3
COMD 434;Special Topics in Journalism;3
COMD 435;Documentary;3
COMD 436;Television Genres;3
COMD 437;Post-production Techniques;3
COMD 438;Adaptation in Media;3
COMD 439;International Public Relations;3
COMD 442;Directing Actors;3
COMD 451;Creative Project Design and Development;3
COMD 461;Public Relations and Communication Campaigns;3
COMD 462;Special Topics in Advertising;3
COMD 471;Media Ethics;3
COMD 481;Visual Communication Project I;4
COMD 482;Visual Communication Project II;4
COMD 511;Research Methods;3
COMD 512;Foundations in Visual Studies;3
COMD 513;Film and Genre;3
COMD 514;Identity Space and Image;3
COMD 515;Media Reception;3
COMD 516;Turkish Cinema and Modernity;3
COMD 517;Topics in Media Studies;3
COMD 518;New Media and Film Cultures;3
COMD 520;National and Transnational Cinemas;3
COMD 521;Body Movement and Vision in Immersive and Interactive Media;3
COMD 523;Media and Everyday Life;3
COMD 524;Essay Film;3
COMD 525;Curatorial Practices in Contemporary Art;3
COMD 527;Creative Sound Design and Synthesis;3
COMD 531;Science and Media;3
COMD 538;Adaptation in Media;3
COMD 541;Writing for Media;3
COMD 566;Documentary Form and Practice;3
COMD 590;Seminar in Research Topics;0
COMD 599;Master's Thesis;0
FA 101;Basic Design I;6
FA 102;Basic Design II;6
FA 103;Drawing I;3
FA 104;Drawing II;3
FA 105;Foundation Studio I;6
FA 106;Foundation Studio II;6
FA 107;Drawing and Visual Expressions;3
FA 131;Technical Drawing;3
FA 132;Design Graphics;3
FA 171;Introduction to Art and Culture I;3
FA 172;Introduction to Art and Culture II;3
FA 201;Art Studio I;6
FA 202;Art Studio II;6
FA 203;Drawing III;3
FA 204;Drawing IV;3
FA 207;Artistic Anatomy;3
FA 208;Anatomical Figure Drawing;3
FA 211;Introduction to Painting I;3
FA 212;Introduction to Painting II;3
FA 213;Introduction to Printmaking I;3
FA 214;Introduction to Printmaking II;3
FA 215;Introduction to Sculpture I;3
FA 217;Introduction to Ceramics I;3
FA 219;Ancient Techniques and New Technology in Mosaic;3
FA 223;Visual Perception and Color;3
FA 262;Fine Arts Seminar;3
FA 271;History of Art I;3
FA 272;History of Art II;3
FA 290;Summer Practice I;0
FA 301;Art Studio III;6
FA 302;Art Studio IV;6
FA 304;Special Problems in Drawing;3
FA 361;Philosophy of Art I;3
FA 390;Summer Practice II;0
FA 401;Art Studio V;6
FA 402;Art Studio VI - Degree Project;9
FA 421;Analysis of Art Work I;3
FA 422;Analysis of Art Work II;3
FA 462;Senior Seminar;3
GRA 131;Design Tools and Techniques;3
GRA 132;Lettering and Introduction to Typography;3
GRA 201;Graphic Design I;6
GRA 202;Graphic Design II;6
GRA 205;Rendering for Graphic Design I;3
GRA 207;Conceptual Design;3
GRA 209;Graphic Design for Non-Majors;3
GRA 210;Web Design;3
GRA 211;Typography I;3
GRA 212;Typography II;3
GRA 215;Computer Graphics for Film and Television I;3
GRA 216;Computer Graphics for Film and Television II;3
GRA 217;Motion Graphics;3
GRA 218;Essentials of Photography;3
GRA 219;Advanced Photography;3
GRA 223;Photographic Image Processing I;3
GRA 224;Photographic Image Processing II;3
GRA 225;Introduction to Visual Techniques;3
GRA 290;Summer Practice I;0
GRA 301;Graphic Design III;6
GRA 302;Graphic Design IV;6
GRA 313;Typographic Design and Theories;3
GRA 315;Information Design and Data Visualization;3
GRA 316;Interface Design Studio;3
GRA 317;Motion Design Studio;3
GRA 323;Logos, Symbols and Signs;3
GRA 324;Photographic Practice;3
GRA 333;Packaging;3
GRA 335;Computational Design Methods;3
GRA 337;Visual Narrative;3
GRA 341;History of Graphic Art;3
GRA 344;Psychology of Advertisement;3
GRA 347;Design Issues;3
GRA 351;Introduction to Video Production Techniques I;3
GRA 390;Summer Practice II;0
GRA 401;Graphic Design V;6
GRA 402;Graphic Design VI;8
GRA 421;Illustration I;3
GRA 422;Illustration II;3
GRA 423;Professional Practice;3
GRA 499;Individual Study;3
GRA 501;Graduate Studio I;3
GRA 502;Graduate Studio II;3
GRA 503;Illustration I;3
GRA 504;Illustration II;3
GRA 511;Typography I;3
GRA 512;Typography II;3
GRA 517;Image Time and Motion I;3
GRA 521;Animation I;3
GRA 541;Graphic and Visual Representation;3
GRA 542;Mass Media and Visual Technologies;3
GRA 590;Seminar in Research Topics;0
GRA 599;Master's Thesis;0
IAED 201;Interior Design Studio I;6
IAED 202;Interior Design Studio II;6
IAED 211;Media for Representation;3
IAED 221;Human Factors;3
IAED 231;Advanced Design Graphics;3
IAED 244;Lighting Design;3
IAED 251;Construction and Materials I;4
IAED 252;Construction and Materials II;4
IAED 290;Summer Practice I;0
IAED 301;Interior Design Studio III;6
IAED 302;Interior Design Studio IV;6
IAED 315;Computerized Presentation Techniques;3
IAED 322;People and Environment;3
IAED 341;Architectural Acoustics and Fire Safety;3
IAED 342;Sustainable Design for Interiors;3
IAED 351;Detailing Studio;3
IAED 365;Places/Memories;3
IAED 381;Product Detailing;3
IAED 390;Summer Practice II;0
IAED 391;Special Topics in Interior Design I;3
IAED 392;Special Topics in Interior Design II;3
IAED 393;Visionary and Future Environments;3
IAED 394;TV Set Design;3
IAED 396;Architectural Photography;3
IAED 397;Color Theory and Applications;3
IAED 401;Interior Design Studio V;6
IAED 402;Interior Design Studio VI;6
IAED 415;Advanced Detailing Studio;3
IAED 418;Interior Design: Professional Practice;3
IAED 426;Leisure Practices and Spaces;3
IAED 461;Environmental Management and Sustainable Development;3
IAED 463;History of Furniture;3
IAED 464;Issues and Themes in Industrial Design;3
IAED 491;Current Issues in Interior Design I;3
IAED 492;Current Issues in Interior Design II;3
IAED 501;Graduate Studio I;3
IAED 502;Graduate Studio II;3
IAED 511;Research Methods I;3
IAED 512;Statistical Analysis;3
IAED 514;Research Methods II;3
IAED 524;Construction of Design as a Social Practice;3
IAED 543;Environmental Analysis I;3
IAED 544;Environmental Analysis II;3
IAED 571;Lighting and Color;3
IAED 574;Art, Science and Technology;3
IAED 576;Computers in Design and Architecture;3
IAED 583;Design Principles and Theories;3
IAED 585;Design Requirements;3
IAED 590;Seminar in Research Topics;0
IAED 599;Master's Thesis;0
IAED 690;Seminar in Advanced Research Topics;0
IAED 699;Ph.D. Dissertation;0
LAUD 201;Design Studio I:Site Design;6
LAUD 202;Design Studio II: Housing;6
LAUD 221;Introduction to Urban Concepts;3
LAUD 232;Landscape Representation;3
LAUD 241;Landscape Plants;3
LAUD 242;Flora of Turkey;3
LAUD 251;Introduction to Landscape Theory;3
LAUD 252;Site Design Techniques;3
LAUD 290;Summer Practice II;0
LAUD 301;Design Studio III: Small Town;6
LAUD 302;Design Studio IV: City Center;6
LAUD 324;Morphology and Topology of Urban Spaces;3
LAUD 342;Planting Design Studio;3
LAUD 357;Landscape Construction: Techniques, Materials and Structures;3
LAUD 362;Making of Urban Landscape;3
LAUD 371;Analysis of Urban Environment I;3
LAUD 372;Analysis of Urban Environment;3
LAUD 390;Summer Practice III;0
LAUD 401;Senior Design Studio I: Open Space Network;6
LAUD 402;Senior Design Studio II: Graduation Projects;6
LAUD 404;Senior Design Research;3
LAUD 417;Contract Documents;3
LAUD 418;Professional Practice;3
LAUD 421;Realization of Urban Projects;3
LAUD 461;Occupancy in Urban Areas;3
LAUD 466;Designing the Sustainable City;3
LAUD 471;Urban Sociology;3
LAUD 472;Recent Issues in Human Geography;3
LAUD 473;Experiencing the City;3
LAUD 474;Space, Culture and Identity;3
LAUD 475;Cinema and Space;3
LAUD 476;Visual Politics of Space;3
LAUD 481;Landscape Ecology Studio;3
LAUD 483;Environment Philosophy and Ethics;3
ADA 131;Architectural Drawing;3
ADA 134;Designing with Digital Media;3
ADA 263;History of Built Environment I;3
ADA 264;History of Built Environment II;3
ADA 302;Design Studio IV: Collaboration;6
ADA 412;Contemporary Problems in Urban Sustainability;3
EMBA 502;EMBA Project;0
EMBA 514;Foundations of Organizational Management I;2
EMBA 515;Foundations of Organizational Management II;3
EMBA 516;Competitive Strategy;5
EMBA 521;Business Law;3
EMBA 525;Managing Systems Effectively;3
EMBA 534;Quantitative Methods;2
EMBA 535;Financial Reporting;3
EMBA 544;Foundations of Financial Management I;2
EMBA 545;Foundations of Financial Management II;3
EMBA 546;Strategic Financial Management;3
EMBA 547;Decision Analysis;2
EMBA 554;Foundations of Marketing Management I;2
EMBA 555;Foundations of Marketing Management II;3
EMBA 556;Managing Markets, Growth and Change;5
MAN 101;Introduction to Business I;3
MAN 102;Introduction to Business II;3
MAN 211;Principles of Accounting I;3
MAN 213;Principles of Financial Accounting;4
MAN 216;Elements of Finance;3
MAN 256;Introduction to Management Science;3
MAN 262;Organizational Behavior;3
MAN 302;Business Forecasting;3
MAN 303;Business Ethics and Social Responsibility;3
MAN 306;Market Research;3
MAN 307;Financial Management;3
MAN 312;Managerial Accounting;3
MAN 321;Corporate Finance;3
MAN 322;Money and Banking;3
MAN 333;Marketing Principles;3
MAN 335;Fundamentals of Marketing;3
MAN 341;Production Management;3
MAN 361;Organization Theory;3
MAN 399;Summer Practice;0
MAN 401;Managerial Economics;3
MAN 403;International Business;3
MAN 404;Investment Analysis;3
MAN 406;Business Strategy;3
MAN 407;Business Plan Development;3
MAN 410;Innovation Management;3
MAN 414;Auditing;3
MAN 416;Financial Statement Analysis;3
MAN 419;Marketing Strategy and Innovation;3
MAN 421;Capital Markets and Institutions;3
MAN 422;International Finance;3
MAN 424;Risk Management;3
MAN 430;Anthropological Marketing;3
MAN 432;Consumer Behavior;3
MAN 433;Global Marketing and Emerging Markets;3
MAN 434;Integrated Marketing Communications;3
MAN 435;Financial Services Marketing;3
MAN 436;Services Marketing;3
MAN 437;Retail Management;3
MAN 439;New Product Development;3
MAN 440;Revenue Management;3
MAN 447;Project Management;3
MAN 451;Decision Analysis;3
MAN 462;Human Resources Management;3
MAN 467;Cross-Cultural Management;3
MAN 474;European Union and Turkey: Trade and Policies;3
MAN 483;Entrepreneurial Management;3
MAN 485;Real Estate Finance;3
MAN 495;Business Capstone Project;4
MAN 498;Individual Study;3
MAN 499;Fundamentals of Starting a New Business;1
MAN 509;International Business;3
MAN 525;Financial Economics;3
MAN 555;Probability and Statistics;3
MAN 590;Pro-Thesis Seminar;0
MAN 593;Research Paper I;0
MAN 594;Research Paper II;0
MAN 599;Master's Thesis Project;0
MAN 604;Quantitative Business Research;3
MAN 605;Qualitative Research;3
MAN 607;Philosophy and Epistemology of Scientific Inquiry;3
MAN 627;Seminar in Corporate Finance;3
MAN 628;Advanced Empirical Finance;3
MAN 629;Seminar in Financial Intermediation;3
MAN 631;Marketing Theory;3
MAN 633;Seminar in Marketing Strategy;3
MAN 634;Consumer Behavior Theory I;3
MAN 636;Consumer Behavior Theory II;3
MAN 639;Special Topics in Marketing I;3
MAN 640;Special Topics in Marketing II;3
MAN 656;Advanced Multivariate Statistics;3
MAN 690;Pre-Thesis Seminar;0
MAN 699;Ph.D. Dissertation;0
MBA 500;Bilcamp;2
MBA 503;Business Economics;3
MBA 510;Advanced Competitive Strategy;3
MBA 511;Accounting;3
MBA 512;Managerial Accounting;3
MBA 519;Financial Institution and Markets;3
MBA 522;Corporate Finance;3
MBA 524;Investment Analysis;3
MBA 526;International Finance;3
MBA 532;Marketing Management;3
MBA 533;Marketing Strategy;3
MBA 535;Consumer Behavior I;3
MBA 539;Services Marketing;3
MBA 542;Production and Operations Management;3
MBA 544;Revenue Management;3
MBA 553;Data Models and Decisions;3
MBA 561;Managing People and Organizations;3
MBA 568;Entrepreneurship and Innovation Management;3
MBA 582;New Product Design and Marketing;3
MBA 588;Capital Markets and Institutions;3
MBA 591;Business Strategy;4
MBA 592;Business Practice Project;4
MBA 596;Technology Management;3
MBA 602;MBA Project;0
MBA 632;Digital Marketing and Advertising;3
MBA 634;Strategic Behavior and Competition;3
MBA 672;Leadership and Negotiation for International Managers;3
ECON 101;Introduction to Economics I;4
ECON 102;Introduction to Economics II;4
ECON 103;Principles of Economics;3
ECON 105;Principles of Economics I;3
ECON 106;Principles of Economics II;3
ECON 107;Principles of Microeconomics;3
ECON 108;Principles of Macroeconomics;3
ECON 203;Microeconomic Theory I;3
ECON 204;Microeconomic Theory II;3
ECON 205;Macroeconomic Theory I;3
ECON 206;Macroeconomic Theory II;3
ECON 207;Economics Theory for Engineers;3
ECON 221;Introduction to Probability and Statistics I;3
ECON 222;Introduction to Probability and Statistics II;3
ECON 225;Mathematics for Economists;3
ECON 301;Econometrics I;4
ECON 302;Econometrics II;3
ECON 317;Energy Economics;3
ECON 318;Seminar in Energy Economics;3
ECON 322;Monetary Economics;3
ECON 323;Economics of Monetary Union;3
ECON 331;International Trade;3
ECON 332;International Economics II;3
ECON 351;Fiscal Economics I;3
ECON 363;History of Economic Thought;3
ECON 399;Summer Training;0
ECON 400;Analytical Writing for Economist;3
ECON 401;Seminar in Microeconomic Policy;3
ECON 402;Seminar in Macroeconomic Policy;3
ECON 403;Issues in Public Finance;3
ECON 409;Contemporary Issues in Turkish Economy I;3
ECON 410;Contemporary Issues in Turkish Economy II;3
ECON 417;Environmental Economics I;3
ECON 426;Applied Econometrics;3
ECON 428;Public Sector Governance;3
ECON 432;Turkish and World Economy in the 20th Century;3
ECON 433;Industrial Economics I;3
ECON 439;Game Theory I;3
ECON 443;Advanced Economic Theory;3
